top_kb_index;second_kb_index;third_kb_index;emoji;name;link;description
7;1;2;:memo:;Схема участия в конкурсе ППС;https://hr.mipt.ru/participation-scheme/;None
7;1;3;:receipt:;Контакты Управления по работе с персоналом;None;Телефон +7 (495) 576 52-11 **Внутренний тел. (68-40) **hr@mipt.ru **Московская область, г. Долгопрудный, Институтский переулок, д. 7, Аудиторный корпус, 1-ый этаж, кабинет 110
7;2;1;:man_pouting_light_skin_tone:;Личный кабинет сотрудника;profile.mipt.ru;None
7;2;2;:man_office_worker_light_skin_tone:;Корп.аккаунт;https://old.mipt.ru/it/services/dostup_k_it_servisam/korporativnyy-akkaunt-poluchenie-i-vosstanovlenie;None
7;2;3;:orange_book:;1С;СДЕЛАТЬ;None
7;2;4;:bell:;HR-портал МФТИ;https://team.mipt.ru;None
7;3;1;:open_book:;Обучение в сервисе Яндекс Телемост;https://old.mipt.ru/it/services/dostup_k_it_servisam/distantsionnoe_obuchenie_v_servise_yandeks_telemost;None
7;3;2;:red_exclamation_mark:;Доступ к сервису проверки текста mipt.antiplagiat.ru;https://old.mipt.ru/it/services/dostup_k_it_servisam/dostup_k_servisu_proverki_teksta_na_plagiat_mipt_antiplagiat_ru;None
7;3;3;:red_circle:;Система обращений Redmine;https://old.mipt.ru/it/support/sistema_obrashcheniy_v_tekhnicheskuyu_podderzhku_uit_redmine1;None
7;3;-1;:SOS_button:;Другой вопрос;;None
7;5;1;:memo:;Инструкции для сотрудников;https://team.mipt.ru/guides;None
7;5;2;:card_file_box:;Документы по ИТ МФТИ;https://old.mipt.ru/it/documents/;None
12;1;1;:movie_camera:;Видеоролик «Электронное трудоустройство в МФТИ»;https://rutube.ru/video/2a6c7def475e5c79c8a847b58cc6fe84/;None
12;1;2;:open_book:;Инструкция «Электронное трудоустройство в МФТИ»;https://mipt.ru/upload/iblock/070/c1i2xpl9ffjbmvked4hvpyr55qf44zyh/Elektronnoe-trudoustroystvo-na-HR_portale.pdf;None
12;2;1;:hammer_and_wrench:;Инструктаж;None;После заключения трудового договора сотрудникам необходимо пройти вводный инструктаж по охране труда в каб. АК 514 и пожарной безопасности в каб. АК 520 ** **Инструктаж проводится по рабочим дням с 9 до 17, обед с 12 до 13
12;2;2;:open_book:;Кадровые документы;None;"Кадровые документы, а также база образцов HR-документов размещены на корпоративном портале **team.mipt.ru в разделе <a href=""https://team.mipt.ru/documents"">«Документы»</a> **• Документы для конкурсов и грантов **• Документы по персональным данным **• Бланки АУП, ХОП, УВП **• Бланки НИЧ **• Бланки ППС **• Локальные нормативные акты **• Должностные инструкции (типовые) ** ***для доступа необходимо авторизоваться на корпоративном портале team.mipt.ru"
12;2;3;:up_arrow:;Повышение квалификации;None;"МФТИ направляет сотрудников на обучение и повышение квалификации (ПК) в учебные заведения ** **Для этого необходимо заполнить форму <a href=""https://mipt.ru/upload/iblock/7d8/repeiu5aen8mfiraw9n6yg8uqra78m85/Zayavka-na-obuchenie-sotrudnikov.xlsx"">«Заявка на обучение сотрудников»</a> и отправить её на hr@mipt.ru"
12;2;4;:palm_tree:;Отпуск;None;"На портале team.mipt.ru в разделе Сервисы МФТИ <a href=""https://team.mipt.ru/vacation"">«Заявление на отпуск»</a> вы сможете сформировать заявление на отпуск (кроме категории ППС) и направить его в электронном виде на согласование вашему руководителю и в отдел кадров.  ** **Также на этой странице представлена информация об утвержденных датах ваших периодов отпусков в соответствии с согласованным графиком отпусков. ** <a href=""https://mipt.ru/docs/download.php?code=kak-oformit-otpusk"">**Инструкция «Как оформить отпуск»</a>"
12;2;5;:page_facing_up:;Расчетный листок;None;"При необходимости вы можете посмотреть/скачать свой расчетный листок, заказать справку <a href=""https://profile.mipt.ru/financial/salary/"">2-НДФЛ</a> ** ***для доступа необходимо авторизоваться в профайле mipt.ru"
12;2;6;:birthday_cake:;Дни рождения;None;Дни рождения сотрудников можно посмотреть на корпоративном портале team.mipt.ru в разделе «Сотрудники», воспользовавшись фильтром «Событие»  ** ***для доступа необходимо авторизоваться на корпоративном портале team.mipt.ru
12;2;7;:briefcase:;Как оформить служебное командирование;None;"Последовательность оформления служебных командировок и контакты отдела международных связей в разделе <a href=""https://old.mipt.ru/about/departments/intoff/%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8/"">«Служебное командирование»</a>"
12;2;8;:information:;Информационные ресурсы МФТИ;None;"1. <a href=""https://mipt.ru/"">Сайт МФТИ</a> **2. <a href=""https://team.mipt.ru/"">Корпоративный портал*</a> **3. <a href=""https://hr.mipt.ru/"">HR-портал*</a> **4. <a href=""https://rutube.ru/channel/23787794/"">Rutube</a> **5. <a href=""https://t.me/miptru"">Telegram для всех</a> **6. <a href=""https://t.me/teamMIPT"">Telegram для сотрудников</a> **7. <a href=""https://vk.com/miptru"">ВКонтакте</a> **8. <a href=""https://ok.ru/miptru"">Одкоклассники</a> ** ***необходима авторизация по корпоративному аккаунту"
12;2;9;:classical_building:;Музей МФТИ;None;"<b> Посещение музея: </b> **• Свободное посещение выставки – записываться не нужно; **• Экскурсия с историей о предметах, выставленных в музее МФТИ – необходимо записаться: по эл. **почте museum@mipt.ru, или по телефону +7 (495) 408-47-18 (вн. 66-83 ). ** **<b>Как пройти в музей:</b> музей находится в корпусе прикладной математики (КПМ), на 1-м этаже. ** **<b>Информационные ресурсы музея:</b> **• <a href=""https://mipt.ru/institute/departments/museum"">страница на сайте МФТИ</a> **• <a href=""https://vk.com/mfti_museum"">страница в ВК</a> **• <a href=""https://t.me/miptmuseum"">тг-канал</a>"
12;2;10;:key:;Пропуск;None;Inverse_link
12;3;1;:hospital:;"Создание нового подразделения ";None;"Уважаемые руководители, с ключевыми моментами оформления нового подразделения и сотрудников вы можете ознакомиться в <a href=""https://mipt.ru/docs/download.php?code=instruktsiya-oformlenie-novogo-podrazdeleniya-i-sotrudnikov"">Инструкции по оформлению нового подразделения и сотрудников</a>"
12;3;2;:bookmark_tabs:;Новый ФЛС;None;Инструкция «Работа с Приказом на создание и изменение ФЛС» находится в 1С: Документооборот, в разделе <b>Внутренние документы</b>, в папке Инструкции пользователей ДО
12;3;3;:man_pouting_light_skin_tone:;ШР и оформление сотрудников;None;Инструкция «Работа со Штатным расписанием» находится в 1С: Документооборот, в разделе <b>Внутренние документы</b>, в папке Инструкции пользователей ДО
12;3;4;:man_office_worker_light_skin_tone:;Назначение мат. ответственного лица;None;"Материальная ответственность может быть оформлена на руководителя либо возлагаться на ответственного сотрудника (он должен быть трудоустроен не менее, чем на 0,5 ставки). ** **1. Необходимо оформить служебную записку <a href=""https://mipt.ru/docs/download.php?code=sluzhebnaya-zapiska-o-naznachenii-mat-otvetstvennogo-litsa"">Служебная записка</a> **2. В бумажном виде, с «живыми» подписями передать ее в АК212 или АК218 **3. После чего заключить договор о материальной ответственности (подписывает мат. ответственный сотрудник и первый проректор МФТИ Е.В. Анохова) ** **По всем вопросам вы можете обратиться в Материальный отдел бухгалтерского учета: ** **• Воронцова Ольга Геннадьевна (АК218),  **+7 495 576-33-72, вн. 66-48 **vorontsova.og@mipt.ru ** **• Куркова Оксана Александровна (АК212) **+7 495 576-33-72. вн. 67-41 **kurkova.oa@mipt.ru"
12;3;5;:bookmark_tabs:;Табель;None;Инструкция «Согласование и подписание табеля» находится в 1С: Документооборот, в разделе <b>Внутренние документы</b>, в папке <b>Инструкции пользователей ДО</b>
12;3;6;:dollar_banknote:;Заработная плата;None;Заработная плата выплачивается работнику 2 раза в месяц, а именно: **• 23-го числа текущего месяца (аванс) **• 8-го числа месяца, следующего за расчетным ** ***при совпадении дня выплаты с выходным или нерабочим праздничным днем заработная плата выплачивается накануне этого дня.  ** **Выплата заработной платы производится в безналичной денежной форме путем ее перечисления на расчетный счет работника, указанный им для этой цели
12;3;7;:money_with_wings:;График оформления приказов о стимулировании работников;None;"Уважаемые руководители, для обеспечения своевременности начисления заработной платы утвержден график оформления приказов о стимулировании работников в 1С: ДО на 2024 г. ** <a href=""https://mipt.ru/docs/download.php?code=grafik-oformleniya-prikazov-o-stimulirovanii-rabotnikov-2024"">**Смотреть график</a>"
12;3;8;:spiral_calendar:;Работа с графиками отпусков;None;Инструкция «Работа с графиками отпусков» находится в 1С: Документооборот, в разделе <b>Внутренние документы</b>, в папке <b>Инструкции пользователей ДО</b>
12;3;9;:busts_in_silhouette:;Замещение на время отсутствия;None;"<u>Назначение сотрудника, который будет исполнять обязанности руководителя</u> ** **• В случае если Руководитель подразделения идет в отпуск по графику, то по своему отпуску он получает в 1С: Документооборот задачу по назначению исполняющего обязанности, выбирает его, нажимает Записать и закрыть, затем – Исполнено ** **Исполняющий обязанности Подтверждает в 1С: Документооборот свое согласие с назначением ** **• В случае если Руководитель подразделения оформляет/переносит свой отпуск на портале team.mipt.ru через <a href=""https://team.mipt.ru/vacation"">Сервисы МФТИ «Заявление на отпуск»</a> , там же и происходит выбор сотрудника, который будет исполнять обязанности руководителя на период его отпуска ** **<u>Переадресация задач в 1С: Документооборот на время отсутствия руководителя</u> ** **• Инструкция «Как создать документ Отсутствие» находится в 1С: Документооборот, в разделе Внутренние документы, в папке Инструкции пользователей ДО/Общие механизмы"
12;3;10;:up_arrow:;Повышение квалификации;None;"МФТИ направляет сотрудников на обучение и повышение квалификации (ПК) в учебные заведения ** **Для этого необходимо заполнить форму <a href=""https://mipt.ru/upload/iblock/7d8/repeiu5aen8mfiraw9n6yg8uqra78m85/Zayavka-na-obuchenie-sotrudnikov.xlsx"">«Заявка на обучение сотрудников»</a> и отправить её на hr@mipt.ru"
